manufacturer,name,year,title,isBase,pp,power,powerRpm,torque,torqueRpm,weight,weightBalanceFront,weightBalanceRear,hasWideBody,swappedEngineModel,gtAutoFront,gtAutoSide,gtAutoRear,gtAutoWing,tyresFront,tyresRear,suspensionType,susBodyHeightFront,susBodyHeightRear,susAntiRollBarFront,susAntiRollBarRear,susDampingCompFront,susDampingCompRear,susDampingExpFront,susDampingExpRear,susNaturalFreqFront,susNaturalFreqRear,susCamberFront,susCamberRear,susToeFront,susToeRear,diffType,diffInitTorqueFront,diffInitTorqueRear,diffAccelSensFront,diffAccelSensRear,diffBrakeSensFront,diffBrakeSensRear,diffTorqueVectoring,diffTorqueFront,diffTorqueRear,aeroDownforceFront,aeroDownforceRear,ecuType,ecuOutput,powerRestrictor,ballastWeight,ballastPosition,transmissionType,transTopSpeedAuto,transFinalGear,transGearRatios,nitro,nitroOutput,turboType,antiLagType,intercoolerType,superchargerType,airCleanerType,silencerType,exhaustManifoldType,brakeSystemType,brakePadsType,handbrakeType,handbrakeTorque,brakeBalanceType,brakeBalance,steeringAngleKit,fourWheelSteeringType,rearSteeringAngle,clutchFlywheelType,propellerShaftType,engineBoreUp,engineStrokeUp,engineBalanceTuning,enginePolishPorts,engineHighLiftCamshaft,engineTitaniumRods,engineRacingCrank,engineHighCompPistons,weightReductionStage,isBodyRigidity
Aston Martin,V8 Vantage Gr.4,2015,Aston Martin V8 Vantage Gr.4 2015 basic setup,TRUE,638.94,399,7000,50,5000,1350,50,50,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RH,RH,FULLY_CUSTOMISABLE,85,90,5,5,25,25,45,45,3,3,3.5,3,-0.1,0.25,FULLY_CUSTOMISABLE,0,10,0,30,0,30,NONE,0,100,200,300,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,3.91,"2.463, 1.866, 1.486, 1.203, 0.985, 0.821",NONE,0,NONE,OFF,NONE,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
Audi,R18,2016,Audi R18 2016 basic setup,TRUE,864.22,506,4600,86.8,3000,875,49,51,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RM,RM,FULLY_CUSTOMISABLE,,,5,5,25,25,45,45,4,4,,,,,FULLY_CUSTOMISABLE,,,,,,,NORMAL,0,0,,,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,,,NONE,0,NORMAL,OFF,NORMAL,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
Audi,R18 TDI,2011,Audi R18 TDI 2011 basic setup,TRUE,863.86,532,4800,91.8,3500,900,46,54,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RM,RM,FULLY_CUSTOMISABLE,,,5,5,25,25,45,45,4,4,,,,,FULLY_CUSTOMISABLE,,,,,,,NONE,0,100,,,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,,,NONE,0,NORMAL,OFF,NORMAL,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
Audi,VGT,2018,Audi VGT 2018 basic setup,TRUE,868.99,735,7500,71.4,5000,1250,44,56,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RM,RM,FULLY_CUSTOMISABLE,,,5,5,25,25,45,45,4,4,,,,,FULLY_CUSTOMISABLE,,,,,,,NORMAL,0,0,,,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,,,NONE,0,NORMAL,OFF,NORMAL,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
Audi,RS 5 Turbo DTM,2019,Audi RS 5 Turbo DTM 2019 basic setup,TRUE,855.93,603,9000,66.3,4000,986,51,49,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RM,RM,FULLY_CUSTOMISABLE,,,5,5,25,25,45,45,,,,,,,FULLY_CUSTOMISABLE,,,,,,,NONE,0,100,750,1000,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,,,NONE,0,NORMAL,OFF,NORMAL,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
Audi,R8 LMS,2015,Audi R8 LMS 2015 basic setup,TRUE,739.23,585,7500,58.5,6500,1225,42,58,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RH,RH,FULLY_CUSTOMISABLE,60,70,5,5,25,25,45,45,,,,,,,FULLY_CUSTOMISABLE,0,,0,,0,,NONE,0,100,,,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,,,NONE,0,NONE,OFF,NONE,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
Audi,R8 LMS Evo,2019,Audi R8 LMS Evo 2019 basic setup,TRUE,739.68,576,7500,58.5,6500,1235,42,58,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RH,RH,FULLY_CUSTOMISABLE,60,70,5,5,25,25,45,45,,,,,,,FULLY_CUSTOMISABLE,0,,0,,0,,NONE,0,100,,,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,,,NONE,0,NONE,OFF,NONE,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
Audi,TT Cup,2016,Audi TT Cup 2016 basic setup,TRUE,625.74,335,6500,40.7,1500,1125,60,40,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RH,RH,FULLY_CUSTOMISABLE,90,90,5,5,25,25,45,45,3,3,3.5,2,-0.15,0,FULLY_CUSTOMISABLE,10,0,30,0,10,0,NONE,100,0,200,300,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,3.3,"2.642, 2.001, 1.594, 1.301, 1.069, 0.878",NONE,0,NORMAL,OFF,NORMAL,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
BMW,M Hybrid V8,2025,BMW M Hybrid V8 2025 basic setup,TRUE,853.52,641,7800,62.9,6600,1030,47,53,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RM,RM,FULLY_CUSTOMISABLE,60,75,5,5,25,25,45,45,4,4,3,3,-0.1,0.35,FULLY_CUSTOMISABLE,0,10,0,25,0,25,NONE,0,100,750,1000,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,3.214,"2.571, 2.063, 1.688, 1.421, 1.238, 1.105, 1.000",NONE,0,NORMAL,OFF,NORMAL,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
BMW,McLaren F1 GTR Race Car,1997,BMW McLaren F1 GTR Race Car 1997 basic setup,TRUE,786.75,602,6500,72.5,5000,950,46,54,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RM,RM,FULLY_CUSTOMISABLE,,,5,5,25,25,45,45,,,,,,,FULLY_CUSTOMISABLE,,,,,,,NONE,0,100,750,1000,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,,,NONE,0,NONE,OFF,NONE,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
BMW,M3 GT3,2011,BMW M3 GT3 2011 basic setup,TRUE,702.88,500,8400,51,5500,1245,49,51,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RH,RH,FULLY_CUSTOMISABLE,60,70,5,5,25,25,45,45,3.6,3.2,3.5,3,-0.1,0.2,FULLY_CUSTOMISABLE,0,10,0,30,0,30,NONE,0,100,350,650,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,3.62,"2.710, 2.090, 1.690, 1.425, 1.230, 1.050",NONE,0,NONE,OFF,NONE,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
BMW,Z4 GT3,2011,BMW Z4 GT3 2011 basic setup,TRUE,712.78,522,8000,52.5,5500,1190,51,49,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RH,RH,FULLY_CUSTOMISABLE,60,70,5,5,25,25,45,45,,,,,,,FULLY_CUSTOMISABLE,0,,0,,0,,NONE,0,100,,,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,,,NONE,0,NONE,OFF,NONE,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
BMW,M6 GT3 Endurance Model,2016,BMW M6 GT3 Endurance Model 2016 basic setup,TRUE,741.34,584,6100,76.5,3500,1300,52,48,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RH,RH,FULLY_CUSTOMISABLE,60,70,5,5,25,25,45,45,,,,,,,FULLY_CUSTOMISABLE,0,,0,,0,,NONE,0,100,,,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,,,NONE,0,NORMAL,OFF,NORMAL,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
BMW,M6 GT3 Sprint Model,2016,BMW M6 GT3 Sprint Model 2016 basic setup,TRUE,741.94,584,6100,76.5,3500,1300,52,48,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RH,RH,FULLY_CUSTOMISABLE,60,70,5,5,25,25,45,45,,,,,,,FULLY_CUSTOMISABLE,0,,0,,0,,NONE,0,100,,,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,,,NONE,0,NORMAL,OFF,NORMAL,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
BMW,M4 Gr.4,2014,BMW M4 Gr.4 2014 basic setup,TRUE,624.17,394,5700,52,2000,1365,52,48,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RH,RH,FULLY_CUSTOMISABLE,80,90,5,5,25,25,45,45,3,3,3.5,3,-0.1,0.25,FULLY_CUSTOMISABLE,0,10,0,30,0,20,NONE,0,100,200,300,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,3.154,"3.177, 2.447, 1.981, 1.644, 1.399, 1.191, 1.01",NONE,0,NORMAL,OFF,NORMAL,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
Bugatti,VGT,2015,Bugatti VGT 2015 basic setup,TRUE,876.09,641,6500,73.7,3500,980,43,57,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RM,RM,FULLY_CUSTOMISABLE,,,5,5,25,25,45,45,4,4,,,,,FULLY_CUSTOMISABLE,,,,,,,NORMAL,30,70,,,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,,,NONE,0,NORMAL,OFF,NORMAL,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
Bugatti,Veyron Gr.4,2013,Bugatti Veyron Gr.4 2013 basic setup,TRUE,623.53,433,6000,56,2500,1650,45,55,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RH,RH,FULLY_CUSTOMISABLE,60,70,5,5,25,25,45,45,3,3,3.5,3,-0.1,0.2,FULLY_CUSTOMISABLE,5,10,20,30,10,20,NORMAL,30,70,200,300,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,2.723,"3.531, 2.684, 2.153, 1.774, 1.502, 1.285, 1.111",NONE,0,NORMAL,OFF,NORMAL,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
Chevrolet,Corvette C7 Gr.3,2014,Chevrolet Corvette C7 Gr.3 2014 basic setup,TRUE,718.34,571,6000,72.9,3500,1300,50,50,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RH,RH,FULLY_CUSTOMISABLE,60,70,5,5,25,25,45,45,3.8,3.4,3.5,3,-0.1,0.2,FULLY_CUSTOMISABLE,0,10,0,30,0,30,NONE,0,100,400,600,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,3.5,"2.250, 1.787, 1.458, 1.223, 1.005, 0.848",NONE,0,NONE,OFF,NONE,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
Chevrolet,Corvette C7 Gr.4,2014,Chevrolet Corvette C7 Gr.4 2014 basic setup,TRUE,645.21,414,6000,58,4500,1350,50,50,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RH,RH,FULLY_CUSTOMISABLE,,,5,5,25,25,45,45,3,3,3.5,3,-0.1,0.25,FULLY_CUSTOMISABLE,0,10,0,30,0,30,NONE,0,100,200,300,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,,,NONE,0,NONE,OFF,NONE,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
Citroën,GT by Citroën Race Car (Gr.3),2008,Citroën GT by Citroën Race Car (Gr.3) 2008 basic setup,TRUE,741.06,599,8500,59.6,6500,1200,43,57,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RH,RH,FULLY_CUSTOMISABLE,60,70,5,5,25,25,45,45,,,,,,,FULLY_CUSTOMISABLE,0,,0,,0,,NONE,0,100,,,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,,,NONE,0,NONE,OFF,NONE,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
Citroën,GT by Citroën Gr.4,2008,Citroën GT by Citroën Gr.4 2008 basic setup,TRUE,653.21,394,8500,39.2,6500,1300,43,57,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RH,RH,FULLY_CUSTOMISABLE,,,5,5,25,25,45,45,3,3,3.5,3.5,-0.1,0.3,FULLY_CUSTOMISABLE,0,15,0,20,0,40,NONE,0,100,200,300,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,,,NONE,0,NONE,OFF,NONE,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
Dodge,SRT Tomahawk VGT (Gr.1),2015,Dodge SRT Tomahawk VGT (Gr.1) 2015 basic setup,TRUE,887.62,693,9200,60.7,7500,950,45,55,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RM,RM,FULLY_CUSTOMISABLE,,,5,5,25,25,45,45,4,4,,,,,FULLY_CUSTOMISABLE,,,,,,,NONE,0,100,,,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,,,NONE,0,NONE,OFF,NONE,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
Dodge,Viper SRT GT3-R,2015,Dodge Viper SRT GT3-R 2015 basic setup,TRUE,742.54,678,6000,88.6,5000,1290,49,51,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RH,RH,FULLY_CUSTOMISABLE,60,70,5,5,25,25,45,45,,,,,,,FULLY_CUSTOMISABLE,0,,0,,0,,NONE,0,100,,,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,,,NONE,0,NONE,OFF,NONE,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
Dodge,Viper Gr.4,2013,Dodge Viper Gr.4 2013 basic setup,TRUE,644.69,428,6400,55.7,5000,1400,49,51,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RH,RH,FULLY_CUSTOMISABLE,,,5,5,25,25,45,45,3,3,3.5,3,-0.1,0.25,FULLY_CUSTOMISABLE,0,10,0,30,0,30,NONE,0,100,200,300,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,,,NONE,0,NONE,OFF,NONE,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
Ferrari,499P,2023,Ferrari 499P 2023 basic setup,TRUE,861.24,670,7400,8035,5500,1030,48,52,FALSE,,STANDARD,STANDARD,STANDARD,STANDARD,RM,RM,FULLY_CUSTOMISABLE,77,100,5,5,25,25,45,45,4,4,2.5,2,-0.1,0.35,FULLY_CUSTOMISABLE,5,10,20,30,10,20,NORMAL,0,0,750,1000,FULLY_CUSTOMISABLE,100,100,0,0,NORMAL,0,3.31,"2.330, 1.900, 1.550, 1.280, 1.110, 1.000, 0.900",NONE,0,NORMAL,OFF,NORMAL,NONE,NONE,RACING,NONE,RACING_SLOTTED,NORMAL,NORMAL,0,CONTROLLER,0,NORMAL,NONE,0,NORMAL,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,FALSE
